Threads,N,Sequential Time,Parallel Time,Total Time
1,1000,0.0018638500000000002,0.0027369000000000004,0.0051404
2,1000,0.0016468,0.00307815,0.0053557
4,1000,0.0016438999999999998,0.003707400000000001,0.00625985
8,1000,0.0016505500000000002,0.0478234,0.050799949999999996
1,5000,0.04523495,0.1023229,0.15365484999999998
2,5000,0.044948199999999994,0.11638565000000001,0.1672383
4,5000,0.045337749999999996,0.0948485,0.14595624999999998
8,5000,0.045114749999999995,0.1683422,0.22145114999999999
1,10000,0.18982074999999998,0.5286573999999999,0.7301415499999999
2,10000,0.190387,0.6934167999999999,0.8963056
4,10000,0.19062569999999995,0.6602642,0.8643280999999998
8,10000,0.19017095,0.95690835,1.1629978000000005
1,20000,0.7815525999999999,2.8557006,3.6622438500000003
2,20000,0.78168725,3.8863079999999997,4.695187700000001
4,20000,0.78520105,4.0261236,4.8430067
8,20000,0.7846876500000001,5.694542199999999,6.520039150000001
1,30000,1.7691039999999998,10.337961400000001,12.146132499999998
2,30000,1.7766519000000003,13.990552500000003,15.808963350000004
4,30000,1.7767770999999999,12.14588075,13.971865
8,30000,1.78495625,18.587858349999998,20.436679149999996
1,40000,3.6974003999999985,35.096279949999996,38.86055815000001
2,40000,3.1752113,41.7084924,44.9399097
4,40000,3.1679203000000005,50.09341495,53.32529745000001
8,40000,3.169067,41.552445850000005,44.81248460000001
1,50000,4.953302600000001,68.38918175,73.4077852
2,50000,4.9498442,94.17352840000001,99.19336180000002
4,50000,4.9497499,124.8553436,129.88597835000002
8,50000,4.9527142,81.96820845,87.04941365
