64,28247.2119,3078.6066,23247.4417,668.1690
100,25743.3398,2755.7762,15637.7593,2318.5479
128,14617.3767,1387.6353,5646.4495,432.3886
200,13845.9961,1407.6315,4845.4086,2645.4748
256,27085.2252,7482.6636,9407.6216,66220.6231
512,37900.5745,18012.2074,8940.6632,60660.7461
600,39228.3449,6789.2084,11567.5225,10350.6503
900,26817.7185,4694.2647,14821.8756,8147.7174
1024,45389.2035,24055.2031,14434.2511,14985.0906
2000,53303.9667,7245.0679,15000.8700,33510.0664
2048,46357.5517,65728.8484,14981.4813,15371.6994
3000,28125.9752,8998.9051,14809.1803,41769.4952
4000,56711.7400,4970.1227,14783.9131,37592.5353
5000,56859.9644,5113.7579,14754.1639,46767.8715
6000,30824.5086,5839.2323,14736.0184,38901.2621
10000,56290.9458,7231.3642,14953.3185,18918.8531
