64, 0.002331, 0.053795,0.003011, 0.214180
100, 0.008718, 0.521256,0.019445, 1.982962
128, 0.008716, 0.496449,0.015453, 2.261927
200, 0.020964, 1.891496,0.040505, 8.563521
256, 0.032131, 6.166790,0.068264, 25.579914
512, 0.103131, 49.034572,0.267255, 214.415147
600, 0.124178, 42.634705,0.372087, 231.275598
900, 0.261760, 133.955377,0.856292, 921.186795
1024, 0.647337, 425.175894,1.147840, 2879.821188
2000, 1.388515, 1534.999781,4.333469, 12454.678433
2048, 1.422859, 5074.966553,4.548268, 54969.021359
3000, 2.584428, 5334.521017,9.731002, 40703.603946
4000, 9.265908, 11551.897034,17.337836, 123046.870880
5000, 17.115663, 23424.535047,27.143273, 207433.122102
6000, 10.938587, 42874.453652,39.131571, 415391.298888
10000, 30.355348, 201250.485309,108.495497, 2120498.300894
64, 0.002577, 0.053921,0.003023, 0.219729
100, 0.005884, 0.242578,0.008914, 0.902219
128, 0.008565, 0.496607,0.015408, 2.237263
200, 0.020067, 1.911619,0.040528, 8.575225
256, 0.030759, 5.923452,0.068193, 25.787626
512, 0.161655, 65.178486,0.267433, 214.076263
600, 0.124896, 42.942609,0.371078, 227.983758
900, 0.268764, 130.986038,0.855671, 919.044071
1024, 0.354690, 427.846364,1.107928, 5581.786586
2000, 1.170696, 1488.937519,4.299614, 11935.609693
2048, 2.468717, 5090.161800,4.515469, 56084.694394
3000, 5.115732, 5294.373172,9.811371, 40591.447750
4000, 9.244082, 11523.851211,17.316816, 123390.421378
5000, 14.840158, 23465.305796,27.155454, 208135.600555
6000, 10.573868, 42902.602639,39.098758, 414042.019970
10000, 30.505319, 201593.881724,108.946367, 2119547.140001
64, 0.002316, 0.053382,0.002950, 0.214295
100, 0.005493, 0.244063,0.008846, 0.902821
128, 0.013841, 1.079044,0.033781, 4.956425
200, 0.037912, 4.799242,0.088655, 16.423392
256, 0.032575, 5.912626,0.068210, 25.370606
512, 0.104451, 48.259620,0.296681, 214.065029
600, 0.140447, 42.679379,0.374710, 228.202144
900, 0.469773, 143.644256,0.856516, 911.925149
1024, 0.363233, 409.623719,1.149621, 5190.018324
2000, 1.198465, 1488.186512,4.290181, 11805.683405
2048, 1.440908, 5045.190477,4.515411, 56428.031440
3000, 5.189602, 5338.626222,9.719020, 40706.216774
4000, 4.704078, 11523.246901,17.316584, 123335.398822
5000, 7.421887, 23402.504287,27.127164, 208002.311047
6000, 19.878194, 42908.552619,39.094347, 414722.161729
10000, 30.252913, 201969.430183,109.061679, 2370800.273177
64, 0.002240, 0.053613,0.002927, 0.213843
100, 0.008975, 0.519591,0.019426, 2.002003
128, 0.008543, 0.497989,0.015851, 2.221676
200, 0.020830, 1.897916,0.040539, 8.505797
256, 0.031103, 5.446416,0.062862, 24.783810
512, 0.178515, 58.827403,0.266957, 214.152834
600, 0.228904, 52.454874,0.372047, 235.592036
900, 0.260932, 129.945730,0.855687, 898.449383
1024, 0.363320, 411.642112,1.110340, 5230.656365
2000, 2.249011, 1500.619751,4.294247, 11962.014681
2048, 2.488743, 5071.515880,4.549762, 55746.118735
3000, 2.618461, 5326.233949,9.749658, 40626.190862
4000, 4.706077, 11505.181575,17.316589, 122831.564521
5000, 7.417246, 23507.207488,27.491509, 208775.577450
6000, 19.647408, 42990.911998,40.125234, 413790.349370
10000, 41.806614, 202381.048884,109.071120, 2122274.024991
