64,2265.5156,2175.9999,9714.6463,0,2565.6653,0,2445.8289,0
100,1754.5960,1710.3826,3694.1389,0,1009.3019,0,1008.3699,0
128,3230.7828,3167.2787,8444.4582,0,2093.8098,0,1854.0656,0
200,3564.6528,3519.9059,8148.7153,0,1961.9810,0,1868.3384,0
256,3906.9976,3868.7154,5440.9054,0,1909.4548,0,1311.7363,0
512,5023.1343,4998.5651,5474.3586,0,1958.9173,0,1251.9390,0
600,5742.0035,5718.0433,9784.2219,0,1930.7023,0,1867.8965,0
900,6166.4674,6149.3215,10836.3140,0,1890.8852,0,1582.7417,0
1024,3230.8700,3222.9753,5050.8095,0,1825.5571,0,745.7008,0
2000,5754.6616,5747.4650,10349.2361,0,1845.8248,0,1284.6607,0
2048,5894.8877,5887.6886,3384.9746,0,1843.8634,0,312.5149,0
3000,6962.6833,6956.8793,10044.5757,0,1848.9608,0,1326.1968,0
4000,3454.0432,3451.8840,11080.4379,0,1845.5889,0,1040.2546,0
5000,2921.9674,2920.5062,10655.5510,0,1842.0237,0,1205.2078,0
6000,6582.9232,6580.1799,10051.7449,0,1839.9114,0,1039.9855,0
10000,6589.4038,6587.7563,9923.3498,0,1843.3503,0,943.1600,0
